cell_x	cell_y	cell	mod_id	live_folder	map_folder	source_layout	source_file	owner_count	entry_count	status
0	0	0_0	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/0_0.lotheader	1	1	CLEAR
0	1	0_1	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/0_1.lotheader	1	1	CLEAR
0	2	0_2	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/0_2.lotheader	1	1	CLEAR
0	3	0_3	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/0_3.lotheader	1	1	CLEAR
0	4	0_4	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/0_4.lotheader	1	1	CLEAR
0	5	0_5	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/0_5.lotheader	1	1	CLEAR
0	6	0_6	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/0_6.lotheader	1	1	CLEAR
0	7	0_7	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/0_7.lotheader	1	1	CLEAR
0	8	0_8	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/0_8.lotheader	1	1	CLEAR
0	9	0_9	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/0_9.lotheader	1	1	CLEAR
0	10	0_10	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/0_10.lotheader	1	1	CLEAR
0	11	0_11	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/0_11.lotheader	1	1	CLEAR
0	12	0_12	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/0_12.lotheader	1	1	CLEAR
0	13	0_13	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/0_13.lotheader	1	1	CLEAR
0	14	0_14	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/0_14.lotheader	1	1	CLEAR
0	15	0_15	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/0_15.lotheader	1	1	CLEAR
0	16	0_16	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/0_16.lotheader	1	1	CLEAR
0	17	0_17	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/0_17.lotheader	1	1	CLEAR
0	18	0_18	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/0_18.lotheader	1	1	CLEAR
1	0	1_0	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/1_0.lotheader	1	1	CLEAR
1	1	1_1	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/1_1.lotheader	1	1	CLEAR
1	2	1_2	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/1_2.lotheader	1	1	CLEAR
1	3	1_3	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/1_3.lotheader	1	1	CLEAR
1	4	1_4	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/1_4.lotheader	1	1	CLEAR
1	5	1_5	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/1_5.lotheader	1	1	CLEAR
1	6	1_6	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/1_6.lotheader	1	1	CLEAR
1	7	1_7	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/1_7.lotheader	1	1	CLEAR
1	8	1_8	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/1_8.lotheader	1	1	CLEAR
1	9	1_9	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/1_9.lotheader	1	1	CLEAR
1	10	1_10	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/1_10.lotheader	1	1	CLEAR
1	11	1_11	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/1_11.lotheader	1	1	CLEAR
1	12	1_12	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/1_12.lotheader	1	1	CLEAR
1	13	1_13	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/1_13.lotheader	1	1	CLEAR
1	14	1_14	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/1_14.lotheader	1	1	CLEAR
1	15	1_15	PIE42	PIE42	PIElots	common	common/media/maps/PIElots/1_15.lotheader	1	1	CLEAR
